Age,Income,Salary,Rating,Annual_Income,Customer_Support_Calls,House_Price,Square_Feet,Temperature,City,Product_Type,Location,Diagnosis,Cabin,Embarked,Gender,Target,Price_Target
40.0,9165.0,55361,2.9,,,495310.0,2091,15.1,Dhaka,Unknown,A,,,S,Male,0,280.32
33.0,5522.0,48717,,52868.0,1.0,368695.0,1504,28.3,Chittagong,C,C,Type3,,S,Female,1,314.83
42.0,50589.0,64787,3.1,79526.0,2.0,453606.0,2052,22.0,Sylhet,A,C,Type1,,C,Female,0,252.43
53.0,61289.0,80106,3.6,107581.0,1.0,359753.0,2075,22.7,Rajshahi,C,B,Type2,,S,Female,0,239.21
32.0,1604.0,31872,4.0,89654.0,1.0,228869.0,1248,,Rajshahi,A,C,Type2,,S,Female,0,179.51
32.0,,61725,3.1,64689.0,2.0,311712.0,2497,18.6,Chittagong,A,B,Type3,,S,Male,0,248.02
53.0,2668.0,57598,3.2,81429.0,3.0,323622.0,1559,24.8,Chittagong,C,C,Type3,,S,Female,1,268.01
,38967.0,70070,2.8,68983.0,1.0,206084.0,2045,20.7,Dhaka,C,B,Type2,Cabin_B,C,Female,0,159.01
29.0,,63197,3.5,75197.0,,261561.0,2582,18.0,Khulna,A,A,Type2,Cabin_B,S,Male,0,303.45
,,48720,2.8,,1.0,279423.0,2462,25.4,Dhaka,A,B,Type3,,S,Female,0,214.4
29.0,62603.0,55214,4.0,70891.0,,460561.0,2017,30.0,Dhaka,Unknown,B,Type2,Cabin_C,C,Male,0,240.19
,80905.0,48059,,80302.0,1.0,91925.0,1818,26.1,Rajshahi,C,B,Type1,,S,Female,0,279.89
37.0,20734.0,76140,3.2,50166.0,1.0,420581.0,2473,27.1,Dhaka,C,A,Type1,,C,Male,0,249.63
12.0,84322.0,60319,3.7,49603.0,3.0,206320.0,2337,19.9,Dhaka,A,C,,Cabin_D,Q,Male,0,320.17
14.0,4175.0,88517,3.6,40286.0,3.0,162792.0,1690,14.5,Dhaka,A,A,Type2,Cabin_G,S,Male,0,281.44
,112602.0,59090,5.7,34993.0,1.0,417994.0,1602,30.0,Dhaka,A,A,Type3,,S,Female,1,242.58
22.0,39658.0,49373,3.8,,,373189.0,963,32.8,Dhaka,A,B,Type1,,S,Female,0,93.99
,84994.0,37294,2.7,78986.0,3.0,425451.0,2077,30.2,Dhaka,A,B,Type2,,C,Female,0,299.81
24.0,30103.0,32952,3.4,52680.0,3.0,380070.0,1958,20.8,Rajshahi,A,B,Type3,Cabin_C,S,Female,0,191.02
18.0,51581.0,36237,2.1,87840.0,3.0,505984.0,2568,16.7,Khulna,B,C,Type3,,S,Female,0,292.59
52.0,37369.0,64006,3.4,75867.0,0.0,355872.0,2179,17.2,Dhaka,A,B,Type2,Cabin_B,C,Female,0,274.51
,65761.0,67630,2.8,,0.0,284352.0,2667,14.1,Khulna,C,B,Type1,,S,Male,0,240.06
,4257.0,36282,,91374.0,,334292.0,1651,22.0,Dhaka,A,C,Type1,Cabin_E,S,Female,0,297.66
17.0,3112.0,73425,3.1,95269.0,4.0,424346.0,2569,30.5,Dhaka,B,A,Type1,,C,Female,0,276.05
28.0,14191.0,52754,3.4,50153.0,1.0,222062.0,1735,21.8,Dhaka,A,B,Type1,,S,Male,0,266.42
36.0,8690.0,62201,3.0,85504.0,3.0,234811.0,2388,24.0,Chittagong,B,C,Type1,,C,Male,0,164.18
21.0,102701.0,84183,4.9,53587.0,0.0,269103.0,1270,29.4,Chittagong,A,A,Type2,,C,Female,0,251.99
39.0,12372.0,73452,3.2,77441.0,0.0,89541.0,2117,20.5,Chittagong,Unknown,B,Type1,,S,Male,0,187.86
27.0,186205.0,55972,5.0,43387.0,4.0,313807.0,1007,32.7,Rajshahi,C,C,Type1,,Q,Female,0,195.2
,20541.0,46632,4.2,30172.0,1.0,111387.0,1866,32.5,Chittagong,B,B,Type1,,S,Male,0,231.94
27.0,10051.0,27722,,65429.0,2.0,305305.0,2220,21.8,Chittagong,A,B,Type2,Cabin_C,Q,Female,0,323.17
,77960.0,49212,3.8,71906.0,4.0,386528.0,1739,19.6,Sylhet,B,C,Type2,Cabin_C,S,Male,0,268.27
34.0,,56833,3.8,65058.0,1.0,252312.0,1474,26.0,,C,A,Type2,Cabin_C,S,Male,0,271.56
,34477.0,45192,,,0.0,467711.0,2423,20.8,Dhaka,A,A,,,S,Female,0,288.52
44.0,40524.0,58031,3.3,65002.0,1.0,,1948,16.7,Rajshahi,B,C,Type2,Cabin_G,S,Female,0,206.27
20.0,63505.0,61152,4.2,81732.0,2.0,419126.0,1755,Unknown,Chittagong,C,C,Type1,Cabin_G,C,Male,0,171.18
,12967.0,56627,3.5,73877.0,1.0,,2020,28.6,Dhaka,C,B,Type1,,C,Male,1,162.3
11.0,280431.0,50249,2.4,79562.0,1.0,128396.0,3318,Unknown,Dhaka,C,B,Type3,Cabin_G,C,Male,0,261.55
19.0,184031.0,62529,3.5,58247.0,1.0,571079.0,2576,16.2,,C,C,Type3,,S,Male,0,299.33
,,66629,,104292.0,3.0,293625.0,2581,16.4,Chittagong,Unknown,C,Type2,Cabin_B,S,Female,0,295.64
,11128.0,43644,4.5,45595.0,1.0,212251.0,2217,Unknown,Dhaka,B,A,Type3,,C,Male,0,208.45
37.0,57007.0,81163,3.5,87189.0,1.0,,2083,20.0,Sylhet,B,A,,,S,Male,0,317.77
,3746.0,58521,4.3,104547.0,3.0,277998.0,801,20.8,Rajshahi,C,B,Type1,,C,Female,0,352.15
31.0,1556.0,60282,3.2,87022.0,1.0,287259.0,1660,27.6,Chittagong,C,C,Type3,Cabin_A,C,Female,1,280.38
17.0,14898.0,70623,,69936.0,2.0,,1759,26.2,Rajshahi,Unknown,C,,Cabin_G,S,Female,0,324.36
26.0,31052.0,63498,2.8,61792.0,0.0,270220.0,1062,29.4,Khulna,A,C,Type3,,C,Female,1,293.66
29.0,101350.0,74297,4.8,100902.0,1.0,363322.0,1421,17.5,Dhaka,B,C,Type1,Cabin_F,C,Female,0,238.51
47.0,,64306,3.3,39425.0,3.0,261237.0,1009,20.8,Dhaka,A,B,Type2,,C,Female,0,216.77
39.0,67876.0,50813,3.3,50746.0,1.0,106503.0,1980,,Chittagong,A,B,Type2,,S,Male,0,169.35
13.0,27712.0,65422,3.3,65061.0,4.0,285063.0,2409,,,A,C,Type2,,S,Male,0,227.76
38.0,21227.0,42844,5.0,105941.0,2.0,63252.0,2553,Unknown,Dhaka,C,C,Type1,,S,Male,0,238.16
30.0,23184.0,61628,4.8,,0.0,335377.0,2207,24.6,Sylhet,A,B,Type1,,S,Female,0,239.26
,219703.0,59501,5.3,50798.0,4.0,,1518,31.7,Chittagong,C,A,Type2,,S,Female,1,244.37
42.0,,56878,3.4,67242.0,2.0,316336.0,1033,25.2,Dhaka,C,C,,Cabin_D,C,Male,0,135.32
47.0,100882.0,58071,3.7,59641.0,1.0,431407.0,1121,27.8,Dhaka,A,B,Type3,,C,Male,0,288.95
46.0,43217.0,31772,,57255.0,1.0,205125.0,1365,20.9,Dhaka,A,B,Type2,Cabin_B,S,Female,0,294.75
24.0,28867.0,51769,4.7,,2.0,406125.0,1555,22.6,Rajshahi,B,B,,Cabin_B,S,Female,0,268.55
31.0,64596.0,61392,2.6,40706.0,1.0,256661.0,1920,Unknown,Sylhet,C,B,,,Q,Male,0,191.53
38.0,33341.0,62397,3.7,115219.0,2.0,,1492,,Chittagong,C,A,Type1,Cabin_E,S,Male,0,268.35
46.0,103345.0,44584,,95705.0,2.0,263484.0,2169,26.1,Sylhet,C,C,Type1,Cabin_B,C,Male,0,251.13
29.0,115481.0,78985,3.0,102271.0,1.0,215950.0,1883,22.1,Khulna,Unknown,A,,,Q,Male,0,273.72
32.0,,47007,2.8,63426.0,1.0,,2005,29.4,Chittagong,B,A,,,C,Male,0,327.56
21.0,,74541,3.0,71251.0,5.0,256421.0,2570,11.5,Rajshahi,Unknown,B,Type1,,Q,Female,0,241.08
20.0,,66407,3.1,39171.0,1.0,215855.0,1409,15.4,Chittagong,C,C,Type1,Cabin_D,C,Male,0,259.08
44.0,121727.0,50306,3.1,61883.0,6.0,252216.0,2209,25.9,Chittagong,C,C,Type2,,S,Male,0,206.78
51.0,11828.0,86629,4.2,87341.0,4.0,295539.0,1993,22.6,Dhaka,A,C,Type1,,S,Female,0,296.08
34.0,,42095,2.6,107401.0,2.0,434218.0,1833,25.5,Rajshahi,Unknown,C,Type2,,S,Male,0,285.14
47.0,49923.0,73787,3.7,47321.0,1.0,106591.0,2442,22.8,,B,A,,Cabin_B,S,Female,0,260.83
,66046.0,75008,4.5,65862.0,1.0,302308.0,2439,25.4,Khulna,C,A,Type2,,C,Female,0,197.34
,,49940,3.1,,3.0,362490.0,1526,18.4,Khulna,A,B,Type1,,S,Male,0,215.83
39.0,62908.0,80886,2.9,40105.0,2.0,319344.0,1908,25.4,Dhaka,B,A,Type1,,C,Male,0,158.44
53.0,119862.0,56249,3.3,89783.0,1.0,,2140,27.5,Dhaka,A,C,Type3,,S,Female,0,215.24
34.0,9903.0,64330,4.4,56900.0,4.0,292565.0,1863,28.6,,A,B,Type3,,S,Female,1,285.47
53.0,13560.0,63904,3.7,70115.0,2.0,281544.0,2292,32.6,Chittagong,A,C,Type1,Cabin_F,Q,Female,0,269.79
3.0,177708.0,57985,3.1,,1.0,,2140,23.7,Dhaka,C,A,,,S,Male,0,257.98
44.0,9982.0,72162,,55266.0,3.0,309931.0,2916,23.9,Chittagong,A,B,Type1,,C,Male,0,324.21
36.0,96339.0,71902,2.6,74823.0,2.0,260959.0,1234,14.9,Dhaka,A,B,,Cabin_D,C,Male,0,265.23
31.0,33891.0,33772,4.0,69609.0,,351614.0,1938,19.8,Dhaka,A,A,,,S,Male,0,221.14
36.0,14199.0,79565,3.8,65703.0,4.0,234747.0,1545,21.5,Dhaka,B,B,Type2,,S,Male,0,215.0
11.0,,35062,3.3,56788.0,1.0,238882.0,2302,27.8,Dhaka,A,B,Type3,,S,Female,0,238.41
32.0,,75488,,82988.0,4.0,247200.0,1191,19.4,,A,B,Type3,Cabin_C,C,Male,0,227.49
39.0,36161.0,76900,2.8,116340.0,0.0,435306.0,2173,26.5,Sylhet,B,B,Type3,,C,Male,0,297.65
52.0,22254.0,43635,3.9,78497.0,3.0,-22101.0,1684,22.5,Chittagong,C,A,Type1,,S,Female,0,271.07
,,53837,4.5,99902.0,3.0,339559.0,1632,Unknown,Chittagong,A,B,Type1,,C,Male,0,234.02
25.0,8927.0,43414,3.0,,2.0,303427.0,1276,23.7,Dhaka,A,B,,,S,Male,0,235.92
28.0,,56776,3.9,78944.0,3.0,131912.0,1767,20.5,Chittagong,A,A,Type3,Cabin_B,C,Male,0,285.16
,174357.0,55379,1.8,47565.0,1.0,330972.0,2542,20.4,Dhaka,Unknown,B,Type3,Cabin_C,Q,Female,0,300.55
,14929.0,71694,3.0,,4.0,347575.0,1987,14.0,Chittagong,B,A,Type2,,Q,Female,0,157.83
28.0,53462.0,79654,3.5,56515.0,3.0,358963.0,2313,21.3,Sylhet,B,B,Type1,Cabin_D,C,Male,0,241.44
41.0,19666.0,80935,,104797.0,0.0,34817.0,2832,20.1,Dhaka,A,A,Type1,Cabin_F,S,Male,0,254.57
,74244.0,51567,2.8,,2.0,436638.0,2131,19.9,Rajshahi,B,B,Type1,Cabin_F,Q,Male,0,277.41
46.0,7013.0,56861,3.0,81075.0,1.0,226226.0,1720,24.6,Dhaka,A,B,Type2,,S,Female,0,255.65
,175030.0,34748,3.7,36682.0,0.0,368656.0,2233,25.8,Dhaka,A,B,Type1,Cabin_G,C,Female,0,270.36
31.0,30237.0,47911,3.4,70092.0,3.0,374107.0,1727,23.7,Dhaka,B,C,Type1,Cabin_E,S,Male,0,238.15
30.0,13462.0,74472,1.7,82542.0,1.0,212330.0,1747,27.5,Dhaka,B,B,,Cabin_A,Q,Male,0,209.71
17.0,,84233,1.8,79388.0,1.0,366045.0,1240,25.4,Dhaka,A,B,Type1,,C,Male,0,289.21
38.0,9301.0,41484,3.0,28905.0,1.0,261450.0,2463,21.0,Dhaka,C,C,Type2,Cabin_C,C,Male,0,290.8
38.0,36674.0,51113,3.9,52742.0,4.0,92862.0,1806,20.2,Chittagong,Unknown,B,Type1,,S,Female,0,282.59
35.0,20549.0,59603,1.3,73398.0,3.0,416774.0,2091,24.1,Dhaka,B,C,Type3,,C,Female,0,291.49
32.0,,64202,3.1,,0.0,222495.0,1482,25.4,Rajshahi,B,B,,Cabin_D,C,Male,0,201.41
,28183.0,47855,3.1,20096.0,1.0,,2217,29.5,Khulna,Unknown,B,Type3,,C,Female,0,224.63
29.0,,66360,4.6,70946.0,4.0,,1619,28.5,Chittagong,C,C,Type2,Cabin_D,S,Female,0,305.99
30.0,48004.0,52892,3.2,78576.0,2.0,327223.0,1929,19.8,Dhaka,B,A,Type3,Cabin_D,S,Male,0,267.81
25.0,61341.0,59783,3.8,,1.0,294272.0,2438,22.0,Dhaka,C,B,Type3,Cabin_E,S,Male,0,252.81
33.0,9138.0,68194,3.6,92321.0,2.0,354806.0,2395,25.9,Khulna,A,A,Type2,Cabin_B,S,Male,0,237.41
39.0,9173.0,60096,1.8,,1.0,166051.0,1988,27.8,Chittagong,B,B,Type3,,S,Male,0,313.39
57.0,1868.0,53454,4.1,55001.0,3.0,,1115,27.2,Chittagong,A,A,Type1,,S,Female,0,161.48
37.0,66666.0,58355,3.7,,3.0,288400.0,3496,22.2,Dhaka,A,B,Type2,Cabin_E,S,Male,1,264.7
,,58674,3.9,65173.0,6.0,489788.0,2872,16.2,Chittagong,B,C,,,S,Male,0,246.67
,32182.0,54449,6.6,100040.0,,288618.0,2361,17.5,Dhaka,A,C,Type2,Cabin_B,S,Male,0,187.37
,92949.0,56118,1.8,109836.0,3.0,408522.0,1623,23.9,Sylhet,C,B,Type3,,Q,Male,0,330.83
34.0,81909.0,83979,4.9,92763.0,1.0,303855.0,1943,Unknown,,B,C,,,S,Female,0,115.47
35.0,,68413,3.3,,4.0,251634.0,1728,17.0,Dhaka,B,B,Type1,Cabin_D,S,Male,0,256.06
,,55567,3.7,84490.0,2.0,275327.0,2631,22.7,Chittagong,A,B,Type2,Cabin_B,S,Male,0,276.42
,11523.0,70454,3.5,61097.0,3.0,283158.0,2131,25.7,Dhaka,A,C,Type1,,C,Female,1,201.25
38.0,,54992,3.2,,1.0,360364.0,1607,16.7,Chittagong,B,C,Type2,,Q,Male,0,263.86
34.0,15718.0,77596,3.0,116726.0,2.0,437461.0,1764,28.0,Khulna,Unknown,C,,,S,Male,0,238.78
20.0,2939.0,65544,,51436.0,2.0,335968.0,2560,,Chittagong,A,A,Type3,Cabin_A,S,Male,0,299.4
48.0,37875.0,58390,2.3,115369.0,2.0,418707.0,2800,28.8,Dhaka,A,B,Type1,Cabin_C,Q,Female,0,425.68
,137919.0,66715,4.1,66949.0,,203521.0,2764,19.8,Dhaka,C,C,Type1,,S,Male,0,266.93
44.0,2006.0,36436,3.2,108135.0,4.0,258536.0,2378,17.4,Khulna,A,B,Type3,,S,Male,0,280.2
24.0,6511.0,43098,2.6,39829.0,,227569.0,1873,Unknown,Chittagong,C,B,Type2,,S,Male,0,201.24
,30092.0,42091,3.1,89647.0,1.0,,379,Unknown,Chittagong,B,B,Type1,,S,Female,0,260.74
18.0,135810.0,62144,,56580.0,2.0,264104.0,2148,20.6,Dhaka,B,C,Type2,,Q,Male,0,231.35
42.0,19001.0,85987,3.1,39618.0,2.0,372977.0,1999,21.4,Dhaka,A,A,Type1,,S,Male,0,288.94
61.0,35386.0,93469,3.8,80463.0,5.0,206899.0,2069,24.2,,A,B,Type3,,Q,Male,0,178.7
23.0,2123.0,69570,2.9,100236.0,0.0,304303.0,2026,21.6,Chittagong,A,A,Type2,,Q,Female,0,196.32
28.0,8028.0,67512,4.1,53876.0,0.0,368685.0,1336,22.2,Chittagong,C,B,Type1,,S,Female,0,309.0
36.0,215737.0,32984,4.0,37524.0,,93469.0,2278,14.0,Chittagong,C,C,Type2,,S,Male,0,260.5
28.0,167790.0,51859,5.0,72703.0,1.0,512163.0,2316,24.5,Rajshahi,C,A,Type1,,S,Male,0,316.19
16.0,,48183,3.4,72814.0,,271684.0,2341,22.1,,C,B,Type3,,S,Female,0,268.19
35.0,151632.0,50687,4.0,88707.0,4.0,97496.0,2473,30.6,Dhaka,A,B,Type3,Cabin_C,S,Male,0,275.49
22.0,50960.0,57477,3.6,,2.0,315809.0,2302,17.8,Chittagong,B,A,Type3,,C,Female,0,234.52
40.0,101216.0,52918,4.5,,1.0,,1794,13.5,Rajshahi,B,B,,,S,Female,0,240.32
23.0,30324.0,30310,2.9,121387.0,1.0,291810.0,1964,,,C,A,Type1,Cabin_C,Q,Female,0,298.22
53.0,,71218,4.1,80605.0,,,2045,24.2,Khulna,A,B,,,S,Male,0,242.84
25.0,33554.0,43908,3.3,66339.0,1.0,374744.0,2053,17.5,Dhaka,B,B,Type2,,C,Female,0,309.18
31.0,54960.0,63588,3.4,34710.0,8.0,329787.0,2499,14.9,Dhaka,C,C,Type2,,Q,Female,0,244.51
,,91111,3.6,68433.0,0.0,345015.0,2321,30.2,Sylhet,B,C,Type2,,S,Male,0,191.02
20.0,1521.0,46209,3.7,66590.0,1.0,289564.0,3038,29.6,Chittagong,A,B,,,S,Male,0,186.46
37.0,18403.0,22045,3.4,,3.0,477549.0,3103,10.1,Chittagong,B,A,Type1,,S,Male,1,241.41
,60984.0,55709,3.7,86562.0,1.0,152080.0,2039,20.2,,A,C,Type1,,S,Female,0,295.79
15.0,11273.0,76514,4.8,45515.0,3.0,313965.0,81,,Chittagong,C,B,Type1,,S,Female,0,216.75
,55955.0,89375,4.3,79306.0,2.0,306502.0,2618,20.1,Dhaka,Unknown,A,,Cabin_A,S,Male,0,286.59
38.0,,41556,4.2,91788.0,2.0,381328.0,1729,20.0,Rajshahi,B,C,Type1,,S,Female,0,255.04
44.0,,67450,3.1,,1.0,215614.0,1599,21.1,Khulna,B,A,,,Q,Male,1,280.31
,55828.0,53020,2.8,,2.0,125632.0,1800,16.9,Chittagong,C,B,Type1,,S,Male,0,235.52
19.0,29326.0,58410,4.3,94021.0,0.0,315682.0,1776,14.0,Chittagong,A,B,Type1,,S,Male,0,259.15
41.0,101301.0,99665,,76502.0,1.0,328123.0,2306,27.8,Dhaka,A,B,,,S,Male,0,296.94
38.0,,37455,4.7,84707.0,0.0,448959.0,1220,13.3,Dhaka,Unknown,C,Type1,,S,Male,0,249.14
38.0,58984.0,63806,3.0,106237.0,,172963.0,1461,23.7,Dhaka,C,B,,,S,Female,0,223.76
39.0,91043.0,67015,3.3,41680.0,4.0,415469.0,2171,26.9,Dhaka,A,A,,,Q,Female,0,159.11
26.0,144671.0,76286,2.2,66264.0,3.0,536741.0,2311,15.2,Sylhet,A,C,Type2,Cabin_F,S,Male,0,277.08
37.0,57481.0,61469,3.2,55685.0,,262223.0,2320,17.9,Rajshahi,C,C,Type3,,S,Female,0,211.42
38.0,34375.0,64620,4.3,84478.0,2.0,170905.0,1606,28.6,Rajshahi,C,B,,,S,Female,0,223.97
26.0,48096.0,54125,3.1,105755.0,1.0,259302.0,1510,Unknown,Chittagong,C,B,Type2,Cabin_D,S,Male,0,196.46
57.0,101591.0,64036,4.0,60075.0,4.0,301400.0,1746,19.4,Dhaka,A,A,,,S,Female,0,238.5
40.0,42269.0,54852,3.3,15242.0,1.0,356378.0,2119,28.5,Sylhet,Unknown,C,Type2,Cabin_B,C,Female,0,354.88
20.0,1542.0,69323,,64694.0,0.0,240860.0,2742,28.5,Dhaka,B,A,,,S,Male,0,267.6
42.0,133645.0,54455,2.6,97836.0,3.0,455519.0,976,23.8,Dhaka,C,A,Type2,,S,Female,0,217.79
23.0,58482.0,65656,3.6,88440.0,1.0,,1889,Unknown,Chittagong,B,B,Type3,,C,Female,0,227.18
44.0,56429.0,59561,1.1,85704.0,,126079.0,1333,20.4,Khulna,A,A,,,S,Female,0,178.06
48.0,12146.0,76890,3.4,68000.0,0.0,410671.0,1173,23.9,Khulna,Unknown,A,Type1,,S,Female,0,193.47
25.0,53776.0,59229,2.2,,2.0,72537.0,2483,21.6,Dhaka,A,B,Type1,,Q,Female,0,185.52
46.0,25032.0,33404,4.5,87882.0,2.0,279587.0,2272,27.2,Khulna,A,A,Type1,,S,Male,0,263.52
39.0,,78928,4.1,,1.0,611768.0,2224,14.9,Dhaka,C,A,Type1,,C,Male,0,272.34
44.0,5635.0,46414,3.9,129602.0,3.0,298795.0,2460,15.0,Dhaka,B,A,Type1,,S,Male,0,253.88
57.0,53624.0,50193,4.7,89262.0,3.0,187923.0,1760,23.4,Khulna,C,A,Type1,,S,Male,0,268.49
32.0,372086.0,51065,2.7,,1.0,294260.0,1783,20.0,Khulna,B,C,Type1,,S,Male,0,211.69
,2470.0,80616,4.9,59715.0,1.0,294919.0,3092,19.4,Chittagong,B,C,Type1,,S,Female,0,192.59
24.0,188993.0,27964,4.2,72676.0,,316064.0,1876,13.7,Chittagong,Unknown,B,Type3,,S,Female,0,192.27
25.0,26120.0,107066,3.3,69012.0,1.0,,2367,22.6,Khulna,A,B,Type1,,S,Male,0,190.05
34.0,102301.0,75840,4.4,102920.0,0.0,196088.0,2003,22.2,Rajshahi,C,A,Type1,Cabin_F,Q,Male,0,267.93
39.0,76251.0,63348,,79660.0,1.0,468754.0,1075,25.8,Khulna,A,A,Type1,,C,Male,0,350.68
,41852.0,59176,2.8,,3.0,324511.0,977,,Chittagong,C,A,,Cabin_A,S,Female,0,197.64
,67056.0,64283,3.0,122261.0,4.0,372679.0,1710,21.8,Sylhet,A,B,Type3,,S,Female,0,232.9
,105398.0,67816,3.1,76232.0,2.0,237185.0,2528,28.4,Sylhet,B,C,Type3,,Q,Female,0,260.14
52.0,25887.0,69678,2.7,94220.0,0.0,428638.0,2394,15.9,Dhaka,C,B,Type1,,C,Female,0,236.05
31.0,19802.0,68334,4.5,59794.0,2.0,,2457,Unknown,Khulna,B,B,Type3,Cabin_D,S,Female,0,266.65
67.0,55069.0,61343,3.3,84077.0,1.0,327755.0,1506,14.1,Chittagong,C,A,,,Q,Female,0,221.23
42.0,82472.0,57039,3.8,82777.0,3.0,206689.0,2807,18.3,Dhaka,C,C,Type1,,S,Male,0,215.98
,71834.0,57730,3.0,27758.0,2.0,200306.0,1517,16.4,Chittagong,C,B,Type2,,S,Female,0,240.88
22.0,79928.0,57076,2.0,125381.0,2.0,368820.0,2106,Unknown,Dhaka,Unknown,C,Type3,,S,Male,0,266.33
40.0,28598.0,77006,,107266.0,2.0,255639.0,1994,22.2,Chittagong,B,B,Type3,Cabin_B,Q,Male,0,314.12
,85141.0,68903,2.0,65070.0,0.0,,1913,22.4,Khulna,A,C,Type3,,Q,Female,0,268.83
43.0,6403.0,15894,3.4,47443.0,,,2669,17.0,Dhaka,A,C,Type3,,Q,Female,0,237.39
,39316.0,69838,2.4,83689.0,2.0,369895.0,1647,21.0,Chittagong,A,C,,,S,Female,0,291.54
34.0,288.0,62921,5.1,77167.0,0.0,237096.0,1325,18.7,Sylhet,A,B,Type2,Cabin_D,Q,Female,0,300.01
24.0,19621.0,59719,4.2,83891.0,2.0,288234.0,2009,24.4,Chittagong,B,B,Type1,Cabin_E,S,Female,0,234.83
16.0,22821.0,54172,3.6,79789.0,2.0,,1800,17.5,Dhaka,A,A,Type3,,S,Female,0,242.7
,25223.0,76861,4.5,87656.0,2.0,108265.0,3688,29.1,Chittagong,A,C,Type1,Cabin_D,S,Female,0,228.64
45.0,59448.0,74212,2.8,111182.0,2.0,,2338,14.1,Chittagong,A,B,Type3,,S,Female,0,291.05
37.0,24596.0,48406,3.9,89202.0,3.0,333627.0,1795,Unknown,Chittagong,C,A,Type1,,C,Male,0,253.71
20.0,29773.0,66105,3.7,48758.0,1.0,226297.0,1471,,Khulna,B,B,,Cabin_F,S,Male,0,179.72
37.0,13560.0,45425,3.7,109064.0,2.0,405672.0,1059,20.3,Chittagong,B,A,Type1,Cabin_G,Q,Female,0,270.31
39.0,23360.0,39305,4.5,116015.0,,396680.0,1487,15.9,Khulna,C,B,Type1,,S,Male,0,324.48
24.0,12891.0,50599,4.1,153801.0,3.0,,2057,23.6,Chittagong,A,B,Type3,,S,Female,0,328.43
,3800.0,72935,3.7,46912.0,2.0,481977.0,2713,20.1,Dhaka,Unknown,B,Type1,,Q,Male,0,226.04
